"Source:","/home/greg/projects/ArcticKoala/hw/ArcticKoala-r0.1/arctic-koala.sch"
"Date:","Mon 16 Dec 2019 09:15:44 ACDT"
"Tool:","Eeschema 5.1.4-e60b266~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","117"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Key","MFN","Mfg","PN","Source"
"","","U8","TPD4EUSB30","TPD4EUSB30","Package_SON:USON-10_2.5x1.0mm_P0.5mm","http://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf","","","","","Texas Instruments","TPD4E05U06DQAR",""
"","","U9","TPD4EUSB30","TPD4EUSB30","Package_SON:USON-10_2.5x1.0mm_P0.5mm","http://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf","","","","","Texas Instruments","TPD4E05U06DQAR",""
"","","U10","TPS62067","TPS62067","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias","","","","",""," Texas Instruments","TPS62067DSGR",""
"","","U11","TPS62067","TPS62067","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias","","","","",""," Texas Instruments","TPS62067DSGR",""
"","","U12","TPS62067","TPS62067","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias","","","","",""," Texas Instruments","TPS62067DSGR",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Key","MFN","Mfg","PN","Source"
"1","33","C1, C2, C3, C4, C5, C8, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C35, C36, C37, C38, C39, C40","100n","pkl_C_Small","pkl_dipol:C_0402","","","cap-cer-0402-100n","","Samsung Electro-Mechanics","CL05B104KO5NNNC","ANY"
"2","2","C6, C9","4u7","pkl_C","pkl_dipol:C_0603","","","cap-cer-0402-4u7","","Samsung Electro-Mechanics","CL10A475KP8NNNC","ANY"
"3","3","C7, C41, C45","22pF","C","pkl_dipol:C_0402","","","","","Samsung Electro-Mechanics","CL05C220JB5NNNC",""
"4","6","C10, C42, C46, C48, C49, C50","4.7uF","C","pkl_dipol:C_0402","","","","","Samsung Electro-Mechanics","CL05A475MP5NRNC",""
"5","3","C32, C33, C34","10uF","pkl_C","pkl_dipol:C_0603","YES","","cap-cer-0603-10u","","Samsung Electro-Mechanics","CL10A106KP8NNNC","ANY"
"6","1","C43","10uF","C","pkl_dipol:C_0603","","","","","Samsung Electro-Mechanics","CL10A106KP8NNNC",""
"7","2","C44, C47","100n","C","pkl_dipol:C_0402","","","","","Samsung Electro-Mechanics","CL05B104KO5NNNC",""
"8","1","D1","BLUE","pkl_Led_Small","pkl_dipol:D_0603","","","led-0603-red","","Wurth Electronics Inc. (VA)","150060BS75000","ANY"
"9","1","D2","GREEN","pkl_Led_Small","pkl_dipol:D_0603","","","led-0603-red","","Wurth Electronics Inc. (VA)","150060VS75000","ANY"
"10","1","D5","RED","pkl_Led_Small","pkl_dipol:D_0603","","","led-0603-red","","Wurth Electronics Inc. (VA)","150060SS75000","ANY"
"11","4","J1, J2, J18, J29","Jumper","pkl_jumper_nc","pkl_jumpers:J_NC_0603_15","","","","","","","ANY"
"12","1","J3","Conn_02x07_Odd_Even","Conn_02x07_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x07_P2.54mm_Vertical","","","","","Sullins Connector Solutions","PPPC072LJBN-RC",""
"13","1","J20","Flash","Conn_01x07","Pin_Headers:Pin_Header_Straight_1x07","","","conn-th-01in-7-1-hdr","","","","ANY"
"14","3","J21, J22, J23","PMOD","Conn_02x06_Top_Bottom","Socket_Strips:Socket_Strip_Angled_2x06","","","conn-th-01in-6-2-rec-ra","","Sullins Connector Solutions","PPPC062LJBN-RC","ANY"
"15","2","J26, J27","5V AUX","Conn_02x01","Pin_Headers:Pin_Header_Straight_2x01","","","conn-th-01in-2-1-hdr","","","","ANY"
"16","2","L1, L2","600","pkl_L_Small","pkl_dipol:L_0402","","","ferrite-0402-600","","Murata Electronics North America","BLM15AG601SN1D","ANY"
"17","3","L3, L4, L5","1.0uH","L_Small","Inductor_SMD:L_0603_1608Metric","","","","","Littelfuse Inc.","LPWI160808S1R0T",""
"18","1","P1","pkl_USB_OTG","pkl_USB_OTG","pkl_connectors:Connector_USB_Micro_B_SMD","","","conn-smd-usb-micro-b","","Amphenol FCI (VA)","10118192-0001LF","ANY"
"19","4","P2, P3, P4, P5","UP","PAD_SMD","pkl_pads:PAD_SMD_1x2.65","","","","","","","ANY"
"20","1","R1","1M","pkl_R_Small","pkl_dipol:R_0402","","","res-0402-1m","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1004X","ANY"
"21","2","R2, R11","10k","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","res-0402cv-array-4-10k","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V103JX","ANY"
"22","2","R3, R29","4k7","pkl_R_Small","pkl_dipol:R_0402","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF4701X","ANY"
"23","6","R4, R20, R21, R22, R23, R24","33E","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","res-0402cv-array-4-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V330JX","ANY"
"24","6","R5, R6, R7, R10, R27, R28","2k2","pkl_R_Small","pkl_dipol:R_0402","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF2201X","ANY"
"25","1","R8","12k","pkl_R_Small","pkl_dipol:R_0402","","1% current reference","res-0402-12k","","Yageo","RC0402FR-0712KL","ANY"
"26","2","R9, R13","10k","pkl_R_Small","pkl_dipol:R_0402","","","res-0402-10k","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1002X","ANY"
"27","1","R12","450k","R","pkl_dipol:R_0402","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF4533X",""
"28","1","R14","30R","pkl_R_Small","pkl_dipol:R_0402","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF30R0X","ANY"
"29","2","R15, R30","330E","pkl_R_Small","pkl_dipol:R_0402","","","res-0402-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF3300X","ANY"
"30","1","R16","100k","R","pkl_dipol:R_0402","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1003X",""
"31","1","R17","120k","R","pkl_dipol:R_0402","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1203X",""
"32","2","R18, R25","180k","R","pkl_dipol:R_0402","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1803X",""
"33","1","R19","360k","R","pkl_dipol:R_0402","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF3603X",""
"34","1","R26","470R","pkl_R_Small","pkl_dipol:R_0402","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF4700X","ANY"
"35","1","SW1","TACT","TACT","pkl_buttons_switches:SW_SPST_3x4x2.5","","","sw-tact-top-3x4x25","","C&K (VA)","KMR621NG LFS",""
"36","1","U1","93C46B-SOT-23-6","93C46-SOT-23-6","pkl_housings_sot:SOT-23-6","","EEPROM 1KBit 2MHz SOT-23-6","eeprom-sot23-6-93c46b","93C46B","Microchip Technology (VA)","93C46BT-I/OT","ANY"
"37","1","U2","PSRAM","W25Q","pkl_housings_soic:SOIC-8_5.3x5.3mm_Pitch1.27mm","","","eeprom-so8w-W25Q","W25Q128JVSIM","Lyontek Inc.","LY68L6400SLIT","ANY"
